"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3464","Test 2","chromium","Wed Jan 22 18:19:35 GMT 2025","passed","Wed Jan 22 18:19:38 GMT 2025","Login form test cases","loginTest.spec.js","",""
"","3838","Test 1","chromium","Wed Jan 22 18:19:31 GMT 2025","passed","Wed Jan 22 18:19:35 GMT 2025","Login form test cases","loginTest.spec.js","",""
"","5107","authenticate by UI","setup","Wed Jan 22 18:19:25 GMT 2025","passed","Wed Jan 22 18:19:30 GMT 2025","","auth.setup.js","",""
