"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5983","authenticate by UI","setup","Mon Dec 09 20:32:13 GMT 2024","passed","Mon Dec 09 20:32:19 GMT 2024","","auth.setup.js","",""
"","8500","Test 2","chromium","Mon Dec 09 20:32:32 GMT 2024","failed","Mon Dec 09 20:32:41 GMT 2024","Login form test cases","loginTest.spec.js","",""
"","3984","Test 1","chromium","Mon Dec 09 20:32:20 GMT 2024","passed","Mon Dec 09 20:32:23 GMT 2024","Login form test cases","loginTest.spec.js","",""
