"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5","authenticate by UI","setup","Mon Dec 09 12:27:12 GMT 2024","failed","Mon Dec 09 12:27:12 GMT 2024","","auth.setup.js","",""
"","6194","Test 1","chromium","Mon Dec 09 12:19:07 GMT 2024","passed","Mon Dec 09 12:19:14 GMT 2024","Login form test cases","loginTest.spec.js","",""
"","9608","Test 2","chromium","Mon Dec 09 12:19:23 GMT 2024","failed","Mon Dec 09 12:19:32 GMT 2024","Login form test cases","loginTest.spec.js","",""
