"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4675","authenticate by UI","setup","Wed Jan 22 18:45:26 GMT 2025","passed","Wed Jan 22 18:45:31 GMT 2025","","auth.setup.js","",""
"","3487","Test 1","chromium","Wed Jan 22 18:45:32 GMT 2025","passed","Wed Jan 22 18:45:35 GMT 2025","Login form test cases","loginTest.spec.js","",""
"","3824","Test 2","chromium","Wed Jan 22 18:45:35 GMT 2025","passed","Wed Jan 22 18:45:39 GMT 2025","Login form test cases","loginTest.spec.js","",""
