"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6086","authenticate by UI","setup","Mon Dec 09 17:34:48 GMT 2024","passed","Mon Dec 09 17:34:54 GMT 2024","","auth.setup.js","",""
"","8527","Test 2","chromium","Mon Dec 09 17:35:08 GMT 2024","failed","Mon Dec 09 17:35:16 GMT 2024","Login form test cases","loginTest.spec.js","",""
"","4182","Test 1","chromium","Mon Dec 09 17:34:55 GMT 2024","passed","Mon Dec 09 17:34:59 GMT 2024","Login form test cases","loginTest.spec.js","",""
