"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8335","Test 2","chromium","Mon Dec 09 20:52:57 GMT 2024","failed","Mon Dec 09 20:53:05 GMT 2024","Login form test cases","loginTest.spec.js","",""
"","5756","authenticate by UI","setup","Mon Dec 09 20:52:38 GMT 2024","passed","Mon Dec 09 20:52:44 GMT 2024","","auth.setup.js","",""
"","4008","Test 1","chromium","Mon Dec 09 20:52:44 GMT 2024","passed","Mon Dec 09 20:52:48 GMT 2024","Login form test cases","loginTest.spec.js","",""
