"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7336","authenticate by UI","setup","Tue Jan 21 18:14:38 GMT 2025","passed","Tue Jan 21 18:14:45 GMT 2025","","auth.setup.js","",""
"","8263","Test 1","chromium","Tue Jan 21 18:14:46 GMT 2025","passed","Tue Jan 21 18:14:54 GMT 2025","Login form test cases","loginTest.spec.js","",""
"","6273","Test 2","chromium","Tue Jan 21 18:14:55 GMT 2025","passed","Tue Jan 21 18:15:01 GMT 2025","Login form test cases","loginTest.spec.js","",""
