"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3076","Test 1","chromium","Mon Dec 09 20:42:55 GMT 2024","passed","Mon Dec 09 20:42:58 GMT 2024","Login form test cases","loginTest.spec.js","",""
"","8245","Test 2","chromium","Mon Dec 09 20:43:07 GMT 2024","failed","Mon Dec 09 20:43:15 GMT 2024","Login form test cases","loginTest.spec.js","",""
"","5491","authenticate by UI","setup","Mon Dec 09 20:42:49 GMT 2024","passed","Mon Dec 09 20:42:55 GMT 2024","","auth.setup.js","",""
