"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8354","Test 2","chromium","Mon Dec 09 16:43:05 GMT 2024","failed","Mon Dec 09 16:43:13 GMT 2024","Login form test cases","loginTest.spec.js","",""
"","3750","Test 1","chromium","Mon Dec 09 16:42:53 GMT 2024","passed","Mon Dec 09 16:42:57 GMT 2024","Login form test cases","loginTest.spec.js","",""
"","5532","authenticate by UI","setup","Mon Dec 09 16:42:47 GMT 2024","passed","Mon Dec 09 16:42:52 GMT 2024","","auth.setup.js","",""
