"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3337","Test 2","chromium","Wed Jan 22 18:08:11 GMT 2025","passed","Wed Jan 22 18:08:14 GMT 2025","Login form test cases","loginTest.spec.js","",""
"","4044","Test 1","chromium","Wed Jan 22 18:08:07 GMT 2025","passed","Wed Jan 22 18:08:11 GMT 2025","Login form test cases","loginTest.spec.js","",""
"","8394","authenticate by UI","setup","Wed Jan 22 18:07:58 GMT 2025","passed","Wed Jan 22 18:08:06 GMT 2025","","auth.setup.js","",""
