"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7798","Test 1","chromium","Tue Jan 21 18:17:52 GMT 2025","passed","Tue Jan 21 18:18:00 GMT 2025","Login form test cases","loginTest.spec.js","",""
"","9371","authenticate by UI","setup","Tue Jan 21 18:17:42 GMT 2025","passed","Tue Jan 21 18:17:51 GMT 2025","","auth.setup.js","",""
"","5514","Test 2","chromium","Tue Jan 21 18:18:00 GMT 2025","passed","Tue Jan 21 18:18:06 GMT 2025","Login form test cases","loginTest.spec.js","",""
