"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6273","Create Employee","Google Chrome","Mon Jul 07 13:08:02 GMT 2025","passed","Mon Jul 07 13:08:09 GMT 2025","Employee Create,Update and Delete Test Cases","EmployeeTests.spec.js","",""
"","2666","User login","setup","Mon Jul 07 13:07:56 GMT 2025","passed","Mon Jul 07 13:07:59 GMT 2025","","auth.setup.js","",""
