"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5158","authenticate by UI","setup","Mon Dec 09 12:40:07 GMT 2024","passed","Mon Dec 09 12:40:13 GMT 2024","","auth.setup.js","",""
"","31156","Test 2","chromium","Mon Dec 09 12:40:47 GMT 2024","broken","Mon Dec 09 12:41:18 GMT 2024","Login form test cases","loginTest.spec.js","",""
"","2589","Test 1","chromium","Mon Dec 09 12:40:13 GMT 2024","passed","Mon Dec 09 12:40:16 GMT 2024","Login form test cases","loginTest.spec.js","",""
