"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","31172","Test 2","chromium","Mon Dec 09 12:29:23 GMT 2024","broken","Mon Dec 09 12:29:54 GMT 2024","Login form test cases","loginTest.spec.js","",""
"","5110","authenticate by UI","setup","Mon Dec 09 12:28:42 GMT 2024","passed","Mon Dec 09 12:28:47 GMT 2024","","auth.setup.js","",""
"","2269","Test 1","chromium","Mon Dec 09 12:28:50 GMT 2024","passed","Mon Dec 09 12:28:52 GMT 2024","Login form test cases","loginTest.spec.js","",""
