"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8392","Test 2","chromium","Mon Dec 09 20:12:29 GMT 2024","failed","Mon Dec 09 20:12:37 GMT 2024","Login form test cases","loginTest.spec.js","",""
"","3746","Test 1","chromium","Mon Dec 09 20:12:17 GMT 2024","passed","Mon Dec 09 20:12:20 GMT 2024","Login form test cases","loginTest.spec.js","",""
"","5165","authenticate by UI","setup","Mon Dec 09 20:12:10 GMT 2024","passed","Mon Dec 09 20:12:16 GMT 2024","","auth.setup.js","",""
