"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4119","Test 1","chromium","Wed Jan 22 18:40:27 GMT 2025","passed","Wed Jan 22 18:40:31 GMT 2025","Login form test cases","loginTest.spec.js","",""
"","5971","authenticate by UI","setup","Wed Jan 22 18:40:21 GMT 2025","passed","Wed Jan 22 18:40:27 GMT 2025","","auth.setup.js","",""
"","3632","Test 2","chromium","Wed Jan 22 18:40:31 GMT 2025","passed","Wed Jan 22 18:40:35 GMT 2025","Login form test cases","loginTest.spec.js","",""
