"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8598","Test 2","chromium","Mon Dec 09 21:23:39 GMT 2024","failed","Mon Dec 09 21:23:47 GMT 2024","Login form test cases","loginTest.spec.js","",""
"","3334","Test 1","chromium","Mon Dec 09 21:23:28 GMT 2024","passed","Mon Dec 09 21:23:31 GMT 2024","Login form test cases","loginTest.spec.js","",""
"","5267","authenticate by UI","setup","Mon Dec 09 21:23:21 GMT 2024","passed","Mon Dec 09 21:23:26 GMT 2024","","auth.setup.js","",""
